%%Dados do NIALM de alguns equipamentos de uma residência
% Fan = 1
% Shower = 2
% Fridge = 3
% SmallFridge = 4
% Grill = 5
% Toaster = 6
% AirConditioning = 7
% Desktop_Computer = 8
% Other = 9
% Microwave = 10
%
% Fan

@relation nialm_data

@attribute diaSemana {Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo}
@attribute hora {00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute state {TURN_ON}

@data
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,18,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,19,TURN_ON
Sexta,20,TURN_ON
Sexta,21,TURN_ON
Sexta,21,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,22,TURN_ON
Sexta,23,TURN_ON
Sexta,23,TURN_ON
Sabado,01,TURN_ON
Sabado,02,TURN_ON
Sabado,03,TURN_ON
Sabado,03,TURN_ON
Sabado,05,TURN_ON
Sabado,06,TURN_ON
Sabado,07,TURN_ON
Sabado,07,TURN_ON
Sabado,08,TURN_ON
Sabado,09,TURN_ON
Sabado,09,TURN_ON
Sabado,09,TURN_ON
Sabado,10,TURN_ON
Sabado,10,TURN_ON
Sabado,11,TURN_ON
Sabado,11,TURN_ON
Sabado,11,TURN_ON
Sabado,11,TURN_ON
Sabado,11,TURN_ON
Sabado,11,TURN_ON
Sabado,12,TURN_ON
Sabado,12,TURN_ON
Sabado,12,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,13,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,14,TURN_ON
Sabado,15,TURN_ON
Sabado,15,TURN_ON
Sabado,15,TURN_ON
Sabado,15,TURN_ON
Sabado,15,TURN_ON
Sabado,15,TURN_ON
Sabado,16,TURN_ON
Sabado,18,TURN_ON
Sabado,18,TURN_ON
Sabado,18,TURN_ON
Sabado,19,TURN_ON
Sabado,19,TURN_ON
Sabado,19,TURN_ON
Sabado,19,TURN_ON
Sabado,19,TURN_ON
Sabado,20,TURN_ON
Sabado,20,TURN_ON
Sabado,20,TURN_ON
Sabado,21,TURN_ON
Sabado,21,TURN_ON
Sabado,21,TURN_ON
Sabado,21,TURN_ON
Sabado,21,TURN_ON
Sabado,21,TURN_ON
Sabado,22,TURN_ON
Sabado,22,TURN_ON
Sabado,22,TURN_ON
Sabado,22,TURN_ON
Sabado,22,TURN_ON
Sabado,22,TURN_ON
Sabado,23,TURN_ON
Sabado,23,TURN_ON
Sabado,23,TURN_ON
Domingo,01,TURN_ON
Domingo,01,TURN_ON
Domingo,02,TURN_ON
Domingo,03,TURN_ON
Domingo,03,TURN_ON
Domingo,04,TURN_ON
Domingo,05,TURN_ON
Domingo,05,TURN_ON
